word,due,difficulty,stability,factor,ivl
幾つか,32,5.8429999351501465,42.68000030517578,2450,29
噛み付く,33,5.781000137329102,50.11000061035156,2350,41
お握り,34,,,2500,88
蟻,38,5.764999866485596,56.45000076293945,2350,48
和平,38,4.104000091552734,62.90999984741211,2500,51
じゃが芋,41,5.834000110626221,63.68000030517578,2400,50
撃つ,43,,,2500,90
梳かす,45,5.781000137329102,59.22999954223633,2300,49
いらっしゃる,45,,,2500,92
お仕舞い,46,5.781000137329102,55.2599983215332,2350,45
数多く,46,,,2500,100
早々,47,5.006999969482422,66.56999969482422,2500,52
直に,52,,,2500,99
あり得ない,55,4.09499979019165,78.58000183105469,2500,64
ガンガン,56,4.929999828338623,79.9800033569336,2500,64
揺ら揺ら,58,4.929999828338623,82.19999694824219,2500,61
色んな,65,,,2500,120
いらっしゃる,95,,,2500,142
中国,146,,,2500,200
そう言う,246,,,2500,300
中国,346,,,2500,400
そう言う,346,,,2500,400
正確,1721393654,10.0,5.269999980926514,1300,4
躊躇,1721393952,10.0,6.619999885559082,1950,5
課題,5,9.89900016784668,25.530000686645508,1400,19
大人しい,5,9.89900016784668,8.5,1550,7
大人しい,5,9.055999755859375,14.0600004196167,1600,10
舐める,5,9.006999969482422,17.239999771118164,2350,11
履歴,5,9.848999977111816,21.690000534057617,2050,61
履歴,5,9.89900016784668,8.25,1700,7
吟味,5,10.0,32.599998474121094,2350,94
機構,5,9.751999855041504,18.719999313354492,1950,21
鮮やか,5,8.885000228881836,57.060001373291016,1700,29
鮮やか,5,10.0,5.360000133514404,1350,4
纏まり,5,9.656000137329102,28.760000228881836,1600,15
逃亡,5,9.75100040435791,20.600000381469727,1700,16
指揮,5,10.0,5.300000190734863,1550,4
閲覧,5,9.800000190734863,15.550000190734863,2150,14
規格,5,9.562000274658203,35.77000045776367,1650,19
運送,5,9.89900016784668,8.970000267028809,1950,7
演出,5,9.89900016784668,11.960000038146973,1800,9
修行,5,9.607999801635742,40.189998626708984,2200,155
獣,5,9.949000358581543,74.51000213623047,1850,21
臨む,5,9.89900016784668,9.109999656677246,2100,7
傷つく,5,10.0,36.880001068115234,2350,128
起こす,5,9.741999626159668,40.97999954223633,2150,158
生,5,10.0,2.1700000762939453,1450,2
印刷,5,8.973999977111816,76.41000366210938,1950,101
施設,5,9.006999969482422,14.640000343322754,1700,11
剃る,5,10.0,5.690000057220459,1300,3
印,5,9.848999977111816,12.779999732971191,1450,10
お八つ,5,4.929999828338623,64.68000030517578,2500,19
纏め,5,9.70300006866455,32.08000183105469,2050,76
衰える,5,9.949000358581543,19.84000015258789,1850,51
種,5,9.800000190734863,14.59000015258789,1900,13
何故,5,8.77400016784668,53.9900016784668,2650,165
無茶苦茶,5,10.0,1.7400000095367432,1300,1
統制,5,9.89900016784668,9.069999694824219,2150,10
何処,5,10.0,2.2799999713897705,2100,2
富む,5,9.848999977111816,13.760000228881836,2350,72
論理,5,9.949000358581543,7.25,2100,6
向上,5,9.848999977111816,9.760000228881836,1600,7
逃がす,5,9.848999977111816,11.529999732971191,2100,10
移転,5,8.17199993133545,106.5999984741211,1750,117
滝,5,10.0,37.959999084472656,2400,127
頼もしい,5,9.949000358581543,6.659999847412109,1350,9
公共,5,8.79800033569336,30.959999084472656,1800,41
防止,5,9.704000473022461,24.110000610351562,1650,17
方面,5,10.0,13.010000228881836,1450,10
目指す,5,9.848999977111816,11.130000114440918,2250,11
惜しい,5,10.0,1.2300000190734863,1650,1
鉄砲,5,9.800000190734863,29.979999542236328,1950,55
しゃがむ,5,9.75100040435791,14.949999809265137,2250,11
柔らかい,5,9.89900016784668,4.050000190734863,1900,4
冷める,5,9.949000358581543,10.680000305175781,2000,7
生える,5,9.89900016784668,11.550000190734863,2100,12
形式,5,9.055999755859375,9.260000228881836,1700,6
分類,5,9.015000343322754,23.690000534057617,1800,14
強引,5,10.0,5.860000133514404,1300,6
障子,5,10.0,28.770000457763672,1650,103
顕微鏡,5,9.848999977111816,13.260000228881836,1650,13
見つける,5,9.949000358581543,8.770000457763672,2400,8
膨らむ,5,10.0,12.329999923706055,2000,19
終了,5,9.800000190734863,10.5,1700,11
早速,5,9.949000358581543,7.710000038146973,1850,7
燃える,5,8.965999603271484,15.989999771118164,2100,15
実は,5,9.800000190734863,12.079999923706055,2050,9
方向,5,9.949000358581543,6.650000095367432,1350,9
積極的,5,10.0,45.11000061035156,1750,174
対,5,9.006999969482422,24.920000076293945,2250,61
報告,5,10.0,4.489999771118164,1900,3
妙,5,9.800000190734863,22.239999771118164,1500,18
表す,5,8.878999710083008,97.02999877929688,1700,22
表す,5,9.949000358581543,6.880000114440918,1350,6
能力,5,10.0,3.799999952316284,1550,2
記入,5,9.663000106811523,30.06999969482422,2200,116
逮捕,5,9.75100040435791,16.600000381469727,1650,15
幅,5,9.949000358581543,2.740000009536743,1300,3
苦労,5,9.711999893188477,15.34000015258789,1500,16
側,5,8.026000022888184,104.66999816894531,1650,70
寧ろ,5,9.751999855041504,31.43000030517578,2000,59
回復,5,9.569999694824219,53.029998779296875,1400,48
評価,5,10.0,6.920000076293945,1300,5
計画,5,9.70300006866455,29.450000762939453,2300,20
目的,5,9.848999977111816,7.96999979019165,2250,6
調子,5,9.949000358581543,6.800000190734863,1350,9
要求,5,9.949000358581543,5.21999979019165,1350,6
減らす,5,10.0,2.759999990463257,1300,2
豊富,5,9.704000473022461,22.09000015258789,1650,17
支店,5,9.810999870300293,6.190000057220459,2300,5
優れる,5,10.0,16.5,1850,11
図,5,9.89900016784668,22.18000030517578,1550,18
水泳,5,10.0,2.0199999809265137,1850,2
程,5,10.0,3.549999952316284,1650,3
収入,5,8.956999778747559,8.949999809265137,2400,7
直接,5,9.89900016784668,43.72999954223633,1300,93
信号,5,9.70300006866455,27.43000030517578,2250,20
真っ直ぐ,5,9.015999794006348,8.649999618530273,2500,7
再び,5,9.800000190734863,11.029999732971191,2450,45
満ちる,5,10.0,4.159999847412109,1450,3
参考,5,10.0,11.970000267028809,2150,8
